"rank","Country","crimeIndex","pop2023"
,"Venezuela",83.76,28838499
,"Papua New Guinea",80.79,10329931
,"South Africa",76.86,60414495
,"Afghanistan",76.31,42239854
,"Honduras",74.54,10593798
,"Guyana",68.74,813834
,"El Salvador",67.79,6364943
,"Brazil",67.49,216422446
,"Jamaica",67.42,2825544
,"Syria",67.18,23227014
,"Peru",66.72,34352719
,"Angola",66.48,36684202
,"Cameroon",65.24,28647293
,"Namibia",65.21,2604172
,"Nigeria",64.06,223804632
,"Bangladesh",63.9,172954319
,"Argentina",63.82,45773884
,"Puerto Rico",62.84,3260314
,"Bahamas",62.06,412623
,"Libya",61.78,6888388
,"Dominican Republic",61.02,11332972
,"Kenya",60.14,55100586
,"Belarus",59.58,9498238
,"Zimbabwe",59.3,16665409
,"Guatemala",58.67,18092026
,"Bolivia",57.77,12388571
,"Fiji",57.62,936375
,"Malaysia",57.29,34308525
,"Colombia",56.87,52085168
,"Kyrgyzstan",56.87,6735347
,"Uganda",56.12,48582334
,"Somalia",56.04,18143378
,"Mongolia",56.01,3447157
,"Tanzania",56,67438106
,"Maldives",55.34,521020.99999999994
,"Ecuador",55.23,18190484
,"Costa Rica",54.22,5212173
,"Mexico",54.19,128455567
,"Kazakhstan",53.77,19606633
,"Chile",53.42,19629590
,"Botswana",52.98,2675352
,"Algeria",52.03,45606480
,"France",51.99,64756584
,"Uruguay",51.73,3423108
,"Cambodia",51.13,16944826
,"Belize",50.39,410825
,"Iran",49.38,89172767
,"Paraguay",49.37,6861524
,"Ethiopia",49.3,126527060
,"Mauritius",48.88,1300557
,"Morocco",48.66,37840044
,"Iraq",48.42,45504560
,"Sweden",48,10612086
,"Nicaragua",47.89,7046310
,"United States",47.81,339996563
,"Ukraine",47.42,36744634
,"Ghana",46.98,34121985
,"Egypt",46.83,112716598
,"Lebanon",46.77,5353930
,"Myanmar",46.51,54577997
,"Moldova",46.35,3435931
,"Vietnam",46.19,98858950
,"United Kingdom",46.07,67736802
,"Indonesia",45.93,277534122
,"Greece",45.85,10341277
,"Ireland",45.51,5056935
,"Panama",45.15,4468087
,"Italy",44.85,58870762
,"Belgium",44.58,11686140
,"India",44.43,1428627663
,"Palestine",43.74,5371230
,"Tunisia",43.69,12458223
,"Zambia",43.62,20569737
,"Australia",43.03,26439111
,"New Zealand",42.88,5228100
,"Albania",42.53,2832439
,"Pakistan",42.51,240485658
,"Philippines",42.46,117337368
,"Sudan",42.34,48109006
,"Canada",41.89,38781291
,"Sri Lanka",41.39,21893579
,"Montenegro",41.18,626485
,"Malta",40.39,535064
,"Russia",39.99,144444359
,"Jordan",39.96,11337052
,"Turkey",39.62,85816199
,"Thailand",39.35,71801279
,"North Macedonia",39.12,2085679
,"Latvia",38.77,1830211
,"Bulgaria",38.21,6687717
,"Serbia",38.1,7149077
,"Nepal",36.01,30896590
,"Germany",35.79,83294633
,"Hungary",34.36,10156239
,"Luxembourg",34.13,654768
,"Norway",33.72,5474360
,"Uzbekistan",33.42,35163944
,"Kuwait",33.42,4310108
,"Lithuania",33.42,2718352
,"Spain",33.32,47519628
,"Azerbaijan",32.02,10412651
,"Israel",31.47,9174520
,"Cyprus",31.28,1260138
,"Poland",30.5,41026067
,"Slovakia",30.37,5795199
,"China",30.14,1425671352
,"Portugal",29.91,10247605
,"Brunei",29,452524
,"Cuba",28.33,11194449
,"Romania",28.3,19892812
,"Singapore",27.96,6014723
,"Finland",27.59,5545475
,"Netherlands",27.16,17618299
,"South Korea",26.68,51784059
,"Denmark",26.22,5910913
,"Bahrain",25.64,1485509
,"Austria",25.54,8958960
,"Czech Republic",25.52,10495295
,"Saudi Arabia",25.23,36947025
,"Rwanda",24.89,14094683
,"Croatia",24.59,4008617
,"Iceland",23.75,375318
,"Estonia",23.71,1322765
,"Georgia",23.38,3728282
,"Armenia",22.79,2777970
,"Slovenia",22.28,2119675
,"Japan",22.19,123294513
,"Hong Kong",22,7491609
,"Switzerland",21.62,8796669
,"Oman",20.34,4644384
,"Taiwan",15.46,23923276
,"United Arab Emirates",15.23,9516871
,"Qatar",12.13,2716391
